越秀保利爱特城,25000,越秀保利爱特城:_￥25000元/平,https://gz.fang.lianjia.com/loupan/p_yxblatcaauit/,020,
实地常春藤,23000,实地常春藤:_￥23000元/平,https://gz.fang.lianjia.com/loupan/p_sdcctaaupe/,020,
万科幸福誉,19000,万科幸福誉:_￥19000元/平,https://gz.fang.lianjia.com/loupan/p_wkxfyaaugv/,020,
雅居乐海珠小雅,52000,雅居乐海珠小雅:_￥52000元/平,https://gz.fang.lianjia.com/loupan/p_yjlhzxyabfbz/,020,
容桂碧桂园凤凰湾,16000,容桂碧桂园凤凰湾:_￥16000元/平,https://gz.fang.lianjia.com/loupan/p_rgbgyhwabeva/,0757,
绿地丽雅香榭花苑,13000,绿地丽雅香榭花苑:_￥13000元/平,https://gz.fang.lianjia.com/loupan/p_ldlyxxhyabhbd/,0757,
万科又一城,15000,万科又一城:_￥15000元/平,https://gz.fang.lianjia.com/loupan/p_wkyycabjmv/,0757,
中海新城公馆,16500,中海新城公馆:_￥16500元/平,https://gz.fang.lianjia.com/loupan/p_zhxcggabmuh/,0757,
佳兆业壹号,65000,佳兆业壹号:_￥65000元/平,https://gz.fang.lianjia.com/loupan/p_jzyyhabfip/,020,
江源半岛花园,70000,江源半岛花园:_￥70000元/平,https://gz.fang.lianjia.com/loupan/p_jybdhyaauqp/,020,
银钻广场,17500,银钻广场:_￥17500元/平,https://gz.fang.lianjia.com/loupan/p_yzgcabnaa/,0757,
金湾豪庭,10500,金湾豪庭:_￥10500元/平,https://gz.fang.lianjia.com/loupan/p_jwhtabmzs/,0757,
绿地珑玥府,21000,绿地珑玥府:_￥21000元/平,https://gz.fang.lianjia.com/loupan/p_ldlyfabnda/,020,
汇金中心,45000,汇金中心:_￥45000元/平,https://gz.fang.lianjia.com/loupan/p_hjzxabmyg/,020,
依山小筑,20000,依山小筑:_￥20000元/平,https://gz.fang.lianjia.com/loupan/p_ysxzabnee/,020,
智慧新城,13000,智慧新城:_￥13000元/平,https://gz.fang.lianjia.com/loupan/p_zhxcabnlb/,0757,
宝峰春天,11000,宝峰春天:_￥11000元/平,https://gz.fang.lianjia.com/loupan/p_bfctaavjj/,020,
保利星海小镇,33000,保利星海小镇:_￥33000元/平,https://gz.fang.lianjia.com/loupan/p_blxhxzabchz/,020,
琶洲壹號,7700,琶洲壹號:_￥7700万/套,https://gz.fang.lianjia.com/loupan/p_pzyhaaumv/,020,
融创臻园,16500,融创臻园:_￥16500元/平,https://gz.fang.lianjia.com/loupan/p_rczyabnlt/,0757,
轩逸荟,12000,轩逸荟:_￥12000元/平,https://gz.fang.lianjia.com/loupan/p_xyhaaubj/,020,
奥园·观湖尚居,13000,奥园·观湖尚居:_￥13000元/平,https://gz.fang.lianjia.com/loupan/p_ayhsjabevh/,0757,
麓湖轩,unknown,麓湖轩:_￥unknown价格待定,https://gz.fang.lianjia.com/loupan/p_lhxaauuk/,020,
枫桦雅居,8500,枫桦雅居:_￥8500元/平,https://gz.fang.lianjia.com/loupan/p_fhyjabnjw/,020,
南沙万地雅涛阁,13000,南沙万地雅涛阁:_￥13000元/平,https://gz.fang.lianjia.com/loupan/p_nswdytgaaugw/,020,
大宏锦绣,21000,大宏锦绣:_￥21000元/平,https://gz.fang.lianjia.com/loupan/p_dhjxabmzo/,020,
豪利幸福里,12000,豪利幸福里:_￥12000元/平,https://gz.fang.lianjia.com/loupan/p_hlxflaaujl/,020,
大洋江畔雅苑,unknown,大洋江畔雅苑:_￥unknown价格待定,https://gz.fang.lianjia.com/loupan/p_dyjpyyaazlq/,020,
佳滨苑,unknown,佳滨苑:_￥unknown价格待定,https://gz.fang.lianjia.com/loupan/p_jbyaaulb/,020,
怡翠晋盛御园,17000,怡翠晋盛御园:_￥17000元/平,https://gz.fang.lianjia.com/loupan/p_ycjsyyabnnt/,0757,
越秀滨海御城,25000,越秀滨海御城:_￥25000元/平,https://gz.fang.lianjia.com/loupan/p_yxbhycaaubi/,020,
增城方圆云山诗意,20000,增城方圆云山诗意:_￥20000元/平,https://gz.fang.lianjia.com/loupan/p_zcfyyssyaauku/,020,
观景豪园,8300,观景豪园:_￥8300元/平,https://gz.fang.lianjia.com/loupan/p_gjhyabmzk/,020,
葛洲坝保利曼城,45000,葛洲坝保利曼城:_￥45000元/平,https://gz.fang.lianjia.com/loupan/p_gzbblmcaaupb/,020,
悦万城,unknown,悦万城:_￥unknown价格待定,https://gz.fang.lianjia.com/loupan/p_ywcaayqz/,020,
鸿业畔湖居,unknown,鸿业畔湖居:_￥unknown价格待定,https://gz.fang.lianjia.com/loupan/p_hyphjabcdq/,0757,
金茂公馆,12000,金茂公馆:_￥12000元/平,https://gz.fang.lianjia.com/loupan/p_jmggabnlw/,020,
侨建Hi·City,47000,侨建Hi·City:_￥47000元/平,https://gz.fang.lianjia.com/loupan/p_qjhabnqf/,020,
凯德新玥,13500,凯德新玥:_￥13500元/平,https://gz.fang.lianjia.com/loupan/p_kdxyaaqwe/,020,
馨晴轩,47500,馨晴轩:_￥47500元/平,https://gz.fang.lianjia.com/loupan/p_xqxaaujn/,020,
保利学府里,43000,保利学府里:_￥43000元/平,https://gz.fang.lianjia.com/loupan/p_blxflaaudw/,020,
碧桂园海湾1号,23000,碧桂园海湾1号:_￥23000元/平,https://gz.fang.lianjia.com/loupan/p_bgyhwaaupn/,020,
宝翠园,57000,宝翠园:_￥57000元/平,https://gz.fang.lianjia.com/loupan/p_bcyaaugn/,020,
珠水豪庭,29000,珠水豪庭:_￥29000元/平,https://gz.fang.lianjia.com/loupan/p_zshtabdbx/,020,
时代南湾,15000,时代南湾:_￥15000元/平,https://gz.fang.lianjia.com/loupan/p_sdnwaazxj/,020,
东海嘉园,80000,东海嘉园:_￥80000元/平,https://gz.fang.lianjia.com/loupan/p_dhjyaauxy/,020,
保利珑门,unknown,保利珑门:_￥unknown价格待定,https://gz.fang.lianjia.com/loupan/p_bllmabbnh/,020,
金时花园,unknown,金时花园:_￥unknown价格待定,https://gz.fang.lianjia.com/loupan/p_jshyabbub/,020,
保利葉公馆,unknown,保利葉公馆:_￥unknown价格待定,https://gz.fang.lianjia.com/loupan/p_blyggabeqk/,0757,
恒福新里程,unknown,恒福新里程:_￥unknown价格待定,https://gz.fang.lianjia.com/loupan/p_hfxlcabewr/,020,
保利天悦叁悦广场,45000,保利天悦叁悦广场:_￥45000元/平,https://gz.fang.lianjia.com/loupan/p_bltysygcabnqh/,020,
珠光新城御景,90000,珠光新城御景:_￥90000元/平,https://gz.fang.lianjia.com/loupan/p_zgxcyjaazze/,020,
